Fecha,D1_TEMPERATURE,D2_TEMPERATURE,Q-PS_MGD,Q-influent_MGD,Q-TWAS_GPM,Q-HSW1_GPM,Q-HSW2_GPM,V-HSW-DIG2-yest_gal,H-HSW_ft,H-Dig1_FT,H-Dig2_FT,Biogas,Minutos_disponibles,Cobertura_porcentaje,Dia_completo,Tramo,Biogas_actual,Biogas_lag_1,Biogas_lag_2,Biogas_lag_3,Biogas_lag_7,Biogas_media_3d,Biogas_desv_3d,Biogas_media_7d,Biogas_desv_7d,Fecha_objetivo_D1,Biogas_D1,Fecha_objetivo_D3,Biogas_D3,Fecha_objetivo_D7,Biogas_D7,Fecha_objetivo_D15,Biogas_D15,Fecha_objetivo_D30,Biogas_D30
2022-12-30,96.08522916666668,95.99750694444445,10.8801875,3.610763888888889,9.573111111111112,5.006763888888889,5.111944444444444,12716.269777777778,5.674347222222223,6.38875,5.1855,200.89446525715277,1440,100.0,True,10,200.89446525715277,229.22934277368057,220.24545812180554,111.77793804454652,123.10845170521459,216.78975538421295,14.480080525573674,135.66940425548066,79.36069199611742,2022-12-31,112.99782403485,2023-01-02,78.9954602079125,2023-01-06,107.85673232559445,2023-01-14,92.89164404155001,2023-01-29,66.52426164737777
2022-12-31,95.96163194444445,96.00763194444444,11.550152777777779,3.3775000000000004,9.372555555555556,1.312826388888889,1.3137152777777779,7384.294604166667,6.507895833333334,5.840243055555556,4.501590277777778,112.99782403485,1440,100.0,True,10,112.99782403485,200.89446525715277,229.22934277368057,220.24545812180554,87.14961726256666,181.04054402189442,60.60590011208195,139.3620052229497,77.30146647072073,2023-01-01,80.18078263320625,2023-01-03,146.58390218655555,2023-01-07,78.52955535486875,2023-01-15,74.42980652276319,2023-01-30,78.87811402251181
2023-01-01,96.00627083333333,95.97445833333333,12.088298611111112,2.8798263888888886,8.389201388888889,1.3146875,1.3151666666666666,1900.8879930555556,5.880347222222222,5.8628125,4.546402777777778,80.18078263320625,1440,100.0,True,10,80.18078263320625,112.99782403485,200.89446525715277,229.22934277368057,56.937947649521526,131.35769064173633,62.416038159480436,142.68241022061895,73.58058680346433,2023-01-02,78.9954602079125,2023-01-04,187.00010610555555,2023-01-08,76.34335276865069,2023-01-16,97.01577506554861,2023-01-31,113.70234312956251
2023-01-02,96.01828472222222,96.00675694444445,11.0428125,3.2250138888888893,8.10761111111111,2.153979166666667,2.133048611111111,1896.8001944444443,5.597090277777778,5.853298611111111,4.555006944444444,78.9954602079125,1440,100.0,True,10,78.9954602079125,80.18078263320625,112.99782403485,200.89446525715277,43.45106067909097,90.72468895865624,19.298203463140318,147.76018158187915,66.47467821428988,2023-01-03,146.58390218655555,2023-01-05,146.07916719890972,2023-01-09,113.78107634597639,2023-01-17,149.77737681854165,2023-02-01,132.65464369713195
2023-01-03,95.93936111111111,96.00722916666668,10.587131944444444,5.267611111111111,9.057541666666667,8.250645833333333,8.278902777777779,3079.727951388889,5.862583333333334,6.185381944444445,4.822208333333334,146.58390218655555,1440,100.0,True,10,146.58390218655555,78.9954602079125,80.18078263320625,112.99782403485,111.77793804454652,101.92004834255808,38.684572215050466,152.73246217359474,64.61023374231179,2023-01-04,187.00010610555555,2023-01-06,107.85673232559445,2023-01-10,143.9836122749368,2023-01-18,151.26455833965278,2023-02-02,136.04994126805556
2023-01-04,96.05374305555554,95.93827777777777,10.414118055555555,4.955402777777778,9.23675,10.188430555555556,10.346104166666667,11946.089097222222,4.962298611111111,6.4725069444444445,5.173076388888888,187.00010610555555,1440,100.0,True,10,187.00010610555555,146.58390218655555,78.9954602079125,80.18078263320625,220.24545812180554,137.52648950000784,54.56902443052874,147.9831261712733,59.86828219366369,2023-01-05,146.07916719890972,2023-01-07,78.52955535486875,2023-01-11,136.53731412215208,2023-01-19,161.7522819070139,2023-02-03,122.76998745522222
2023-01-05,95.90427777777778,95.89345833333333,9.697618055555555,3.8959652777777776,8.457284722222223,6.4954027777777785,6.461041666666667,14937.485479166666,4.278138888888889,6.045631944444444,4.6989930555555555,146.07916719890972,1440,100.0,True,10,146.07916719890972,187.00010610555555,146.58390218655555,78.9954602079125,229.22934277368057,159.8877251636736,23.481366859815243,136.10452966059174,48.16678876404195,2023-01-06,107.85673232559445,2023-01-08,76.34335276865069,2023-01-12,70.82207204816945,2023-01-20,148.7933527688889,2023-02-04,78.66295843862846
2023-01-06,95.99074305555557,95.773,11.740298611111111,3.6559097222222223,8.576229166666668,4.305826388888889,4.322701388888889,9338.492333333334,5.121673611111111,5.8615625,4.624930555555555,107.85673232559445,1440,100.0,True,10,107.85673232559445,146.07916719890972,187.00010610555555,146.58390218655555,200.89446525715277,146.97866854335322,39.57935358643633,122.81342495608344,39.33587270513638,2023-01-07,78.52955535486875,2023-01-09,113.78107634597639,2023-01-13,95.73587550180557,2023-01-21,157.34190209909724,2023-02-05,62.86445461278402
2023-01-07,96.00086805555556,95.97395833333333,10.61817361111111,3.611659722222222,8.4568125,2.2360625,2.2372083333333332,6243.148333333333,6.014875,5.841284722222222,4.989548611111111,78.52955535486875,1440,100.0,True,10,78.52955535486875,107.85673232559445,146.07916719890972,187.00010610555555,112.99782403485,110.82181829312428,33.87227946516571,117.88938657322898,42.77627320585143,2023-01-08,76.34335276865069,2023-01-10,143.9836122749368,2023-01-14,92.89164404155001,2023-01-22,154.25964758194445,2023-02-06,75.34285404903889
2023-01-08,96.0830625,95.97434027777777,11.851131944444445,3.3996597222222222,8.543208333333332,2.2371319444444446,2.2339861111111112,3232.3208124999996,5.070965277777778,5.861416666666667,5.0563263888888885,76.34335276865069,1440,100.0,True,10,76.34335276865069,78.52955535486875,107.85673232559445,146.07916719890972,80.18078263320625,87.57654681637128,17.59713935994665,117.34118230686389,43.360672878104445,2023-01-09,113.78107634597639,2023-01-11,136.53731412215208,2023-01-15,74.42980652276319,2023-01-23,167.0309772717361,2023-02-07,112.16303345500694
