fecha_origen,fecha_objetivo,horizonte_dias,dataset,modelo,real_CFM,predicho_CFM,persistencia_CFM,error_CFM,error_absoluto_CFM,conjunto,media_7d_CFM,fuente
2023-02-17,2023-02-20,3,Operativo,Regresión lineal,63.9,85.37369736885219,69.4,-21.473697368852193,21.473697368852193,Prueba,119.15714285714287,LABS diario
2023-02-18,2023-02-21,3,Operativo,Regresión lineal,99.1,110.91334858546944,85.1,-11.813348585469441,11.813348585469441,Prueba,112.52857142857144,LABS diario
2023-02-19,2023-02-22,3,Operativo,Regresión lineal,160.1,105.09436922337693,83.4,55.005630776623065,55.005630776623065,Prueba,107.61428571428571,LABS diario
2023-02-20,2023-02-23,3,Operativo,Regresión lineal,176.7,84.7556115807988,63.9,91.94438841920119,91.94438841920119,Prueba,100.57142857142857,LABS diario
2023-02-21,2023-02-24,3,Operativo,Regresión lineal,150.3,92.38919544093523,99.1,57.910804559064786,57.910804559064786,Prueba,95.5142857142857,LABS diario
2023-02-22,2023-02-25,3,Operativo,Regresión lineal,99.3,96.94280182979288,160.1,2.3571981702071128,2.3571981702071128,Prueba,97.27142857142857,LABS diario
2023-02-23,2023-02-26,3,Operativo,Regresión lineal,89.7,96.18015464210828,176.7,-6.480154642108275,6.480154642108275,Prueba,105.38571428571429,LABS diario
2023-02-24,2023-02-27,3,Operativo,Regresión lineal,132.1,105.30839071222883,150.3,26.791609287771166,26.791609287771166,Prueba,116.94285714285714,LABS diario
2023-02-25,2023-02-28,3,Operativo,Regresión lineal,185.6,114.00113518503336,99.3,71.59886481496663,71.59886481496663,Prueba,118.97142857142858,LABS diario
2023-02-26,2023-03-01,3,Operativo,Regresión lineal,170.1,119.854726877612,89.7,50.245273122388,50.245273122388,Prueba,119.87142857142858,LABS diario
2023-02-27,2023-03-02,3,Operativo,Regresión lineal,132.0,126.81109226803576,132.1,5.188907731964235,5.188907731964235,Prueba,129.6142857142857,LABS diario
2023-02-28,2023-03-03,3,Operativo,Regresión lineal,86.6,152.17956584292426,185.6,-65.57956584292427,65.57956584292427,Prueba,141.9714285714286,LABS diario
2023-03-01,2023-03-04,3,Operativo,Regresión lineal,72.8,121.04273928620518,170.1,-48.24273928620518,48.24273928620518,Prueba,143.4,LABS diario
2023-03-02,2023-03-05,3,Operativo,Regresión lineal,57.3,110.78001999032944,132.0,-53.48001999032944,53.48001999032944,Prueba,137.0142857142857,LABS diario
2023-03-03,2023-03-06,3,Operativo,Regresión lineal,58.2,115.73266693743115,86.6,-57.532666937431145,57.532666937431145,Prueba,127.91428571428571,LABS diario
2023-03-04,2023-03-07,3,Operativo,Regresión lineal,68.0,129.46321048345825,72.8,-61.463210483458255,61.463210483458255,Prueba,124.12857142857142,LABS diario
2023-03-05,2023-03-08,3,Operativo,Regresión lineal,99.4,122.77067468529692,57.3,-23.37067468529692,23.37067468529692,Prueba,119.5,LABS diario
2023-03-06,2023-03-09,3,Operativo,Regresión lineal,138.8,105.59281599399814,58.2,33.20718400600187,33.20718400600187,Prueba,108.94285714285715,LABS diario
2023-03-07,2023-03-10,3,Operativo,Regresión lineal,133.5,84.57452688417115,68.0,48.92547311582885,48.92547311582885,Prueba,92.14285714285714,LABS diario
2023-03-08,2023-03-11,3,Operativo,Regresión lineal,81.6,93.97348770010584,99.4,-12.37348770010584,12.37348770010584,Prueba,82.04285714285713,LABS diario
2023-03-09,2023-03-12,3,Operativo,Regresión lineal,71.0,97.12158282683133,138.8,-26.12158282683133,26.12158282683133,Prueba,83.01428571428572,LABS diario
2023-03-10,2023-03-13,3,Operativo,Regresión lineal,96.2,110.236163695051,133.5,-14.036163695051002,14.036163695051002,Prueba,89.71428571428571,LABS diario
2023-03-11,2023-03-14,3,Operativo,Regresión lineal,107.5,117.00873965414894,81.6,-9.50873965414894,9.50873965414894,Prueba,90.97142857142858,LABS diario
2023-03-12,2023-03-15,3,Operativo,Regresión lineal,94.5,137.81826682403346,71.0,-43.31826682403346,43.31826682403346,Prueba,92.92857142857143,LABS diario
2023-03-13,2023-03-16,3,Operativo,Regresión lineal,139.7,139.08931628780076,96.2,0.6106837121992328,0.6106837121992328,Prueba,98.35714285714286,LABS diario
2023-03-14,2023-03-17,3,Operativo,Regresión lineal,161.5,127.74046649395686,107.5,33.75953350604314,33.75953350604314,Prueba,104.0,LABS diario
2023-03-15,2023-03-18,3,Operativo,Regresión lineal,126.8,105.30440898739819,94.5,21.495591012601807,21.495591012601807,Prueba,103.3,LABS diario
2023-03-16,2023-03-19,3,Operativo,Regresión lineal,187.9,129.86256087355244,139.7,58.037439126447566,58.037439126447566,Prueba,103.42857142857143,LABS diario
2023-03-17,2023-03-20,3,Operativo,Regresión lineal,161.5,124.7576015134694,161.5,36.742398486530604,36.742398486530604,Prueba,107.42857142857143,LABS diario
2023-03-18,2023-03-21,3,Operativo,Regresión lineal,126.8,121.17543661703792,126.8,5.62456338296208,5.62456338296208,Prueba,113.88571428571427,LABS diario
2023-03-19,2023-03-22,3,Operativo,Regresión lineal,107.2,167.23845372549133,187.9,-60.03845372549132,60.03845372549132,Prueba,130.58571428571426,LABS diario
2023-03-20,2023-03-23,3,Operativo,Regresión lineal,88.1,151.29452626095423,161.5,-63.194526260954234,63.194526260954234,Prueba,139.91428571428574,LABS diario
2023-03-21,2023-03-24,3,Operativo,Regresión lineal,98.5,131.37648801255463,126.8,-32.87648801255463,32.87648801255463,Prueba,142.67142857142858,LABS diario
2023-03-22,2023-03-25,3,Operativo,Regresión lineal,84.0,141.70343051556898,107.2,-57.70343051556898,57.70343051556898,Prueba,144.4857142857143,LABS diario
2023-03-23,2023-03-26,3,Operativo,Regresión lineal,72.1,120.93870568137578,88.1,-48.838705681375785,48.838705681375785,Prueba,137.1142857142857,LABS diario
2023-03-24,2023-03-27,3,Operativo,Regresión lineal,75.2,118.66703210686835,98.5,-43.467032106868345,43.467032106868345,Prueba,128.1142857142857,LABS diario
2023-03-25,2023-03-28,3,Operativo,Regresión lineal,83.3,103.18998766296998,84.0,-19.889987662969986,19.889987662969986,Prueba,122.0,LABS diario
2023-03-26,2023-03-29,3,Operativo,Regresión lineal,93.6,85.35350695400258,72.1,8.246493045997411,8.246493045997411,Prueba,105.45714285714284,LABS diario
2023-03-27,2023-03-30,3,Operativo,Regresión lineal,62.0,88.41280429112925,75.2,-26.412804291129248,26.412804291129248,Prueba,93.12857142857145,LABS diario
